Input[0]: 0x000A0005000AA000
#Trails: {48: 1728, 49: 5424, 50: 16224, 51: 15328, 52: 76768, 44: 2920, 45: 0, 46: 3872, 47: 0}

Input[28]: 0x000D000A00055000
Probability: 2^(-31.759618582613037)
#Trails: {48: 1728, 49: 5424, 50: 16224, 51: 15328, 52: 76768, 44: 2920, 45: 0, 46: 3872, 47: 0}

Input[29]: 0x000D000D00055000
Probability: 2^(-30.866335980943322)
#Trails: {48: 3712, 49: 41968, 50: 61840, 51: 106336, 52: 216768, 44: 3496, 45: 0, 46: 5216, 47: 0}

Input[30]: 0x000D000700055000
Probability: 2^(-32.95791316773804)
#Trails: {48: 0, 49: 30464, 50: 22144, 51: 70144, 52: 67232, 44: 0, 45: 0, 46: 0, 47: 0}

Input[31]: 0x000D000F00055000
Probability: 2^(-31.237773701025375)
#Trails: {48: 1728, 49: 35888, 50: 38368, 51: 85472, 52: 144000, 44: 2920, 45: 0, 46: 3872, 47: 0}

Input[32]: 0x0007000A00055000
Probability: 2^(-30.585917664521197)
#Trails: {48: 33504, 49: 17088, 50: 127552, 51: 112800, 52: 244016, 44: 1920, 45: 0, 46: 10160, 47: 0}

Input[33]: 0x0007000D00055000
Probability: 2^(-32.95791316773804)
#Trails: {48: 0, 49: 30464, 50: 22144, 51: 70144, 52: 67232, 44: 0, 45: 0, 46: 0, 47: 0}

Input[34]: 0x0007000700055000
Probability: 2^(-30.331108092497903)
#Trails: {48: 33504, 49: 47552, 50: 149696, 51: 182944, 52: 311248, 44: 1920, 45: 0, 46: 10160, 47: 0}

Input[35]: 0x0007000F00055000
Probability: 2^(-32.95791316773804)
#Trails: {48: 0, 49: 30464, 50: 22144, 51: 70144, 52: 67232, 44: 0, 45: 0, 46: 0, 47: 0}

Input[36]: 0x000F000A00055000
Probability: 2^(-31.050082120796937)
#Trails: {48: 7360, 49: 16688, 50: 59312, 51: 57632, 52: 171520, 44: 3496, 45: 0, 46: 5552, 47: 0}

Input[37]: 0x000F000D00055000
Probability: 2^(-31.237773701025375)
#Trails: {48: 1728, 49: 35888, 50: 38368, 51: 85472, 52: 144000, 44: 2920, 45: 0, 46: 3872, 47: 0}

Input[38]: 0x000F000700055000
Probability: 2^(-32.95791316773804)
#Trails: {48: 0, 49: 30464, 50: 22144, 51: 70144, 52: 67232, 44: 0, 45: 0, 46: 0, 47: 0}

Input[39]: 0x000F000F00055000
Probability: 2^(-30.709243141776263)
#Trails: {48: 7360, 49: 47152, 50: 81456, 51: 127776, 52: 238752, 44: 3496, 45: 0, 46: 5552, 47: 0}

Input[40]: 0x000A000A000DD000
Probability: 2^(-29.348871207893104)
#Trails: {48: 80544, 49: 65264, 50: 216144, 51: 188832, 52: 510816, 44: 5416, 45: 0, 46: 25568, 47: 0}

Input[41]: 0x000A0005000DD000
Probability: 2^(-31.428691750360173)
#Trails: {48: 10944, 49: 5424, 50: 15808, 51: 22304, 52: 80736, 44: 2920, 45: 0, 46: 6304, 47: 0}

Input[42]: 0x000A0007000DD000
Probability: 2^(-30.06657443511175)
#Trails: {48: 58976, 49: 48576, 50: 152128, 51: 117376, 52: 327456, 44: 1920, 45: 0, 46: 15792, 47: 0}

Input[43]: 0x000A000F000DD000
Probability: 2^(-30.700183830651035)
#Trails: {48: 21568, 49: 16688, 50: 64016, 51: 71456, 52: 183360, 44: 3496, 45: 0, 46: 9776, 47: 0}

Input[44]: 0x0005000A000DD000
Probability: 2^(-31.428691750360173)
#Trails: {48: 10944, 49: 5424, 50: 15808, 51: 22304, 52: 80736, 44: 2920, 45: 0, 46: 6304, 47: 0}

Input[45]: 0x00050005000DD000
Probability: 2^(-30.75541317690292)
#Trails: {48: 15360, 49: 19440, 50: 61456, 51: 107776, 52: 237504, 44: 3496, 45: 0, 46: 7648, 47: 0}

Input[46]: 0x00050007000DD000
Probability: 0
#Trails: {48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 44: 0, 45: 0, 46: 0, 47: 0}

Input[47]: 0x0005000F000DD000
Probability: 2^(-31.428691750360173)
#Trails: {48: 10944, 49: 5424, 50: 15808, 51: 22304, 52: 80736, 44: 2920, 45: 0, 46: 6304, 47: 0}

Input[48]: 0x000D000A000DD000
Probability: 2^(-31.428691750360173)
#Trails: {48: 10944, 49: 5424, 50: 15808, 51: 22304, 52: 80736, 44: 2920, 45: 0, 46: 6304, 47: 0}

Input[49]: 0x000D0005000DD000
Probability: 2^(-30.99369583910389)
#Trails: {48: 13312, 49: 11504, 50: 40784, 51: 46048, 52: 161632, 44: 3496, 45: 0, 46: 7648, 47: 0}

Input[50]: 0x000D0007000DD000
Probability: 2^(-33.57589933744893)
#Trails: {48: 0, 49: 17920, 50: 14464, 51: 41728, 52: 67056, 44: 0, 45: 0, 46: 0, 47: 0}

Input[51]: 0x000D000F000DD000
Probability: 2^(-31.13502799798577)
#Trails: {48: 10944, 49: 23344, 50: 30272, 51: 64032, 52: 147792, 44: 2920, 45: 0, 46: 6304, 47: 0}

Input[52]: 0x0007000A000DD000
Probability: 2^(-30.06657443511175)
#Trails: {48: 58976, 49: 48576, 50: 152128, 51: 117376, 52: 327456, 44: 1920, 45: 0, 46: 15792, 47: 0}

Input[53]: 0x00070005000DD000
Probability: 0
#Trails: {48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 44: 0, 45: 0, 46: 0, 47: 0}

Input[54]: 0x00070007000DD000
Probability: 2^(-29.945136052513178)
#Trails: {48: 58976, 49: 66496, 50: 166592, 51: 159104, 52: 394512, 44: 1920, 45: 0, 46: 15792, 47: 0}

Input[55]: 0x0007000F000DD000
Probability: 2^(-33.57589933744893)
#Trails: {48: 0, 49: 17920, 50: 14464, 51: 41728, 52: 67056, 44: 0, 45: 0, 46: 0, 47: 0}

Input[56]: 0x000F000A000DD000
Probability: 2^(-30.700183830651035)
#Trails: {48: 21568, 49: 16688, 50: 64016, 51: 71456, 52: 183360, 44: 3496, 45: 0, 46: 9776, 47: 0}

Input[57]: 0x000F0005000DD000
Probability: 2^(-31.428691750360173)
#Trails: {48: 10944, 49: 5424, 50: 15808, 51: 22304, 52: 80736, 44: 2920, 45: 0, 46: 6304, 47: 0}

Input[58]: 0x000F0007000DD000
Probability: 2^(-33.57589933744893)
#Trails: {48: 0, 49: 17920, 50: 14464, 51: 41728, 52: 67056, 44: 0, 45: 0, 46: 0, 47: 0}

Input[59]: 0x000F000F000DD000
Probability: 2^(-30.515908769337145)
#Trails: {48: 21568, 49: 34608, 50: 78480, 51: 113184, 52: 250416, 44: 3496, 45: 0, 46: 9776, 47: 0}

Input[60]: 0x000A000A00077000
Probability: 2^(-29.784286902122513)
#Trails: {48: 26624, 49: 76704, 50: 161184, 51: 207120, 52: 455872, 44: 6992, 45: 0, 46: 7648, 47: 1152}

Input[61]: 0x000A000500077000
Probability: 2^(-30.99404656645735)
#Trails: {48: 1536, 49: 12000, 50: 18912, 51: 24736, 52: 86560, 44: 5840, 45: 0, 46: 4352, 47: 0}

Input[62]: 0x000A000D00077000
Probability: 2^(-30.99404656645735)
#Trails: {48: 1536, 49: 12000, 50: 18912, 51: 24736, 52: 86560, 44: 5840, 45: 0, 46: 4352, 47: 0}

Input[63]: 0x000A000F00077000
Probability: 2^(-30.369505338494424)
#Trails: {48: 10304, 49: 24672, 50: 71328, 51: 79472, 52: 189344, 44: 6992, 45: 0, 46: 6624, 47: 1152}

Input[64]: 0x0005000A00077000
Probability: 2^(-30.99404656645735)
#Trails: {48: 1536, 49: 12000, 50: 18912, 51: 24736, 52: 86560, 44: 5840, 45: 0, 46: 4352, 47: 0}

Input[65]: 0x0005000500077000
Probability: 2^(-30.458041293100894)
#Trails: {48: 5120, 49: 21472, 50: 54048, 51: 80800, 52: 214112, 44: 6992, 45: 0, 46: 6528, 47: 0}

Input[66]: 0x0005000D00077000
Probability: 2^(-30.547935760583808)
#Trails: {48: 5120, 49: 16864, 50: 44192, 51: 50080, 52: 167392, 44: 6992, 45: 0, 46: 6528, 47: 0}

Input[67]: 0x0005000F00077000
Probability: 2^(-30.99404656645735)
#Trails: {48: 1536, 49: 12000, 50: 18912, 51: 24736, 52: 86560, 44: 5840, 45: 0, 46: 4352, 47: 0}

Input[68]: 0x000D000A00077000
Probability: 2^(-30.99404656645735)
#Trails: {48: 1536, 49: 12000, 50: 18912, 51: 24736, 52: 86560, 44: 5840, 45: 0, 46: 4352, 47: 0}

Input[69]: 0x000D000500077000
Probability: 2^(-30.547935760583808)
#Trails: {48: 5120, 49: 16864, 50: 44192, 51: 50080, 52: 167392, 44: 6992, 45: 0, 46: 6528, 47: 0}

Input[70]: 0x000D000D00077000
Probability: 2^(-30.188368171223118)
#Trails: {48: 5120, 49: 56032, 50: 79776, 51: 153568, 52: 316752, 44: 6992, 45: 0, 46: 6528, 47: 0}

Input[71]: 0x000D000F00077000
Probability: 2^(-30.523530655554104)
#Trails: {48: 1536, 49: 51168, 50: 54496, 51: 128224, 52: 235920, 44: 5840, 45: 0, 46: 4352, 47: 0}

Input[72]: 0x0007000A00077000
Probability: 2^(-31.36873766771167)
#Trails: {48: 16320, 49: 52032, 50: 89856, 51: 127648, 52: 266528, 44: 0, 45: 0, 46: 1024, 47: 0}

Input[73]: 0x0007000500077000
Probability: 0
#Trails: {48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 44: 0, 45: 0, 46: 0, 47: 0}

Input[74]: 0x0007000D00077000
Probability: 2^(-32.36885137094431)
#Trails: {48: 0, 49: 39168, 50: 35584, 51: 103488, 52: 149360, 44: 0, 45: 0, 46: 0, 47: 0}

Input[75]: 0x0007000F00077000
Probability: 2^(-32.36885137094431)
#Trails: {48: 0, 49: 39168, 50: 35584, 51: 103488, 52: 149360, 44: 0, 45: 0, 46: 0, 47: 0}

Input[76]: 0x000F000A00077000
Probability: 2^(-30.369505338494424)
#Trails: {48: 10304, 49: 24672, 50: 71328, 51: 79472, 52: 189344, 44: 6992, 45: 0, 46: 6624, 47: 1152}

Input[77]: 0x000F000500077000
Probability: 2^(-30.99404656645735)
#Trails: {48: 1536, 49: 12000, 50: 18912, 51: 24736, 52: 86560, 44: 5840, 45: 0, 46: 4352, 47: 0}

Input[78]: 0x000F000D00077000
Probability: 2^(-30.523530655554104)
#Trails: {48: 1536, 49: 51168, 50: 54496, 51: 128224, 52: 235920, 44: 5840, 45: 0, 46: 4352, 47: 0}

Input[79]: 0x000F000F00077000
Probability: 2^(-30.047446426379633)
#Trails: {48: 10304, 49: 63840, 50: 106912, 51: 182960, 52: 338704, 44: 6992, 45: 0, 46: 6624, 47: 1152}

Input[80]: 0x000A000A000FF000
Probability: 2^(-29.353982795847056)
#Trails: {48: 60928, 49: 55424, 50: 181792, 51: 170496, 52: 456160, 44: 9008, 45: 0, 46: 20544, 47: 0}

Input[81]: 0x000A0005000FF000
Probability: 2^(-30.959603245385374)
#Trails: {48: 7168, 49: 3296, 50: 15616, 51: 18144, 52: 77792, 44: 5840, 45: 0, 46: 5376, 47: 0}

Input[82]: 0x000A000D000FF000
Probability: 2^(-30.959603245385374)
#Trails: {48: 7168, 49: 3296, 50: 15616, 51: 18144, 52: 77792, 44: 5840, 45: 0, 46: 5376, 47: 0}

Input[83]: 0x000A0007000FF000
Probability: 2^(-30.253354473477444)
#Trails: {48: 47424, 49: 49824, 50: 132352, 51: 120320, 52: 307264, 44: 2016, 45: 0, 46: 12000, 47: 0}

Input[84]: 0x0005000A000FF000
Probability: 2^(-30.959603245385374)
#Trails: {48: 7168, 49: 3296, 50: 15616, 51: 18144, 52: 77792, 44: 5840, 45: 0, 46: 5376, 47: 0}

Input[85]: 0x00050005000FF000
Probability: 2^(-30.266468235924854)
#Trails: {48: 13184, 49: 24416, 50: 74656, 51: 129392, 52: 249984, 44: 6992, 45: 0, 46: 7552, 47: 0}

Input[86]: 0x0005000D000FF000
Probability: 2^(-30.476453357957702)
#Trails: {48: 10624, 49: 15456, 50: 43040, 51: 55264, 52: 165024, 44: 6992, 45: 0, 46: 7552, 47: 0}

Input[87]: 0x00050007000FF000
Probability: 0
#Trails: {48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 44: 0, 45: 0, 46: 0, 47: 0}

Input[88]: 0x000D000A000FF000
Probability: 2^(-30.959603245385374)
#Trails: {48: 7168, 49: 3296, 50: 15616, 51: 18144, 52: 77792, 44: 5840, 45: 0, 46: 5376, 47: 0}

Input[89]: 0x000D0005000FF000
Probability: 2^(-30.476453357957702)
#Trails: {48: 10624, 49: 15456, 50: 43040, 51: 55264, 52: 165024, 44: 6992, 45: 0, 46: 7552, 47: 0}

Input[90]: 0x000D000D000FF000
Probability: 2^(-30.267196605606504)
#Trails: {48: 10624, 49: 43040, 50: 69664, 51: 87904, 52: 243136, 44: 6992, 45: 0, 46: 7552, 47: 0}

Input[91]: 0x000D0007000FF000
Probability: 2^(-33.155980836225574)
#Trails: {48: 0, 49: 27584, 50: 26624, 51: 32640, 52: 78112, 44: 0, 45: 0, 46: 0, 47: 0}

Input[92]: 0x0007000A000FF000
Probability: 2^(-30.253354473477444)
#Trails: {48: 47424, 49: 49824, 50: 132352, 51: 120320, 52: 307264, 44: 2016, 45: 0, 46: 12000, 47: 0}

Input[93]: 0x00070005000FF000
Probability: 0
#Trails: {48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 44: 0, 45: 0, 46: 0, 47: 0}

Input[94]: 0x0007000D000FF000
Probability: 2^(-33.155980836225574)
#Trails: {48: 0, 49: 27584, 50: 26624, 51: 32640, 52: 78112, 44: 0, 45: 0, 46: 0, 47: 0}

Input[95]: 0x00070007000FF000
Probability: 2^(-30.07227989870322)
#Trails: {48: 47424, 49: 77408, 50: 158976, 51: 152960, 52: 385376, 44: 2016, 45: 0, 46: 12000, 47: 0}

Input[96]: 0x000F000A000FF000
Probability: 2^(-30.462159777558615)
#Trails: {48: 13504, 49: 5600, 50: 49440, 51: 50176, 52: 148896, 44: 6992, 45: 0, 46: 8544, 47: 0}

Input[97]: 0x000F0005000FF000
Probability: 2^(-30.959603245385374)
#Trails: {48: 7168, 49: 3296, 50: 15616, 51: 18144, 52: 77792, 44: 5840, 45: 0, 46: 5376, 47: 0}

Input[98]: 0x000F000D000FF000
Probability: 2^(-30.674870254051154)
#Trails: {48: 7168, 49: 30880, 50: 42240, 51: 50784, 52: 155904, 44: 5840, 45: 0, 46: 5376, 47: 0}

Input[99]: 0x000F0007000FF000
Probability: 2^(-33.155980836225574)
#Trails: {48: 0, 49: 27584, 50: 26624, 51: 32640, 52: 78112, 44: 0, 45: 0, 46: 0, 47: 0}

Distribution : [1.701625507166682e-09, 1.701625507166682e-09, 6.076348313399649e-10, 2.2644073283117905e-09, 2.28573426852563e-09, 2.2380994835202728e-09, 0.0, 1.701625507166682e-09, 2.2380994835202728e-09, 2.3285906536330003e-09, 9.049117011272756e-11, 1.7921166772794095e-09, 0.0, 9.049117011272756e-11, 6.981260014526924e-10, 9.049117011272756e-11, 1.701625507166682e-09, 1.7921166772794095e-09, 9.049117011272756e-11, 2.354898498424518e-09, 1.0702443375976145e-09, 2.750439875853772e-10, 6.204707858614711e-10, 4.497735517361434e-10, 2.750439875853772e-10, 3.9100456206142553e-10, 0.0, 2.750439875853772e-10, 2.750439875853772e-10, 5.108660161567968e-10, 1.198614540953713e-10, 3.949054416807485e-10, 6.204707858614711e-10, 1.198614540953713e-10, 7.403322399568424e-10, 1.198614540953713e-10, 4.497735517361434e-10, 3.949054416807485e-10, 1.198614540953713e-10, 5.696350058315147e-10, 1.4625456401518022e-09, 3.459561526142352e-10, 8.89322393504699e-10, 5.732232466471032e-10, 3.459561526142352e-10, 5.516938017535722e-10, 0.0, 3.459561526142352e-10, 3.459561526142352e-10, 4.677005449593707e-10, 7.809930480107141e-11, 4.240554574153066e-10, 8.89322393504699e-10, 0.0, 9.674216983057704e-10, 7.809930480107141e-11, 5.732232466471032e-10, 3.459561526142352e-10, 7.809930480107141e-11, 6.513225514481746e-10, 1.081524203527806e-09, 4.675868581216491e-10, 4.675868581216491e-10, 7.208882379927672e-10, 4.675868581216491e-10, 6.779785621802148e-10, 6.370228788910026e-10, 4.675868581216491e-10, 4.675868581216491e-10, 6.370228788910026e-10, 8.173266508038068e-10, 6.478906300344534e-10, 3.6063596553503885e-10, 0.0, 1.8030377191280422e-10, 1.8030377191280422e-10, 7.208882379927672e-10, 4.675868581216491e-10, 6.478906300344534e-10, 9.011920099055715e-10, 1.4573728890354687e-09, 4.788844876202347e-10, 4.788844876202347e-10, 7.813270030965214e-10, 4.788844876202347e-10, 7.742571028757084e-10, 6.693809950775176e-10, 0.0, 4.788844876202347e-10, 6.693809950775176e-10, 7.738663043710403e-10, 1.0448530929352273e-10, 7.813270030965214e-10, 0.0, 1.0448530929352273e-10, 8.858123123900441e-10, 6.760458859389473e-10, 4.788844876202347e-10, 5.833697969137575e-10, 1.0448530929352273e-10]
#Trails of weigth 44: [26432, 26432, 3168, 31872, 31552, 31552, 0, 26432, 31552, 31552, 0, 26432, 0, 0, 3168, 0, 26432, 26432, 0, 31872, 5416, 2920, 1920, 3496, 2920, 3496, 0, 2920, 2920, 3496, 0, 2920, 1920, 0, 1920, 0, 3496, 2920, 0, 3496, 5416, 2920, 1920, 3496, 2920, 3496, 0, 2920, 2920, 3496, 0, 2920, 1920, 0, 1920, 0, 3496, 2920, 0, 3496, 6992, 5840, 5840, 6992, 5840, 6992, 6992, 5840, 5840, 6992, 6992, 5840, 0, 0, 0, 0, 6992, 5840, 5840, 6992, 9008, 5840, 5840, 2016, 5840, 6992, 6992, 0, 5840, 6992, 6992, 0, 2016, 0, 0, 2016, 6992, 5840, 5840, 0]
#Trails of weigth 45: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 46: [8736, 8736, 9824, 17728, 16480, 16480, 0, 8736, 16480, 16480, 0, 8736, 0, 0, 9824, 0, 8736, 8736, 0, 17728, 15712, 3872, 10160, 5552, 3872, 5216, 0, 3872, 3872, 5216, 0, 3872, 10160, 0, 10160, 0, 5552, 3872, 0, 5552, 25568, 6304, 15792, 9776, 6304, 7648, 0, 6304, 6304, 7648, 0, 6304, 15792, 0, 15792, 0, 9776, 6304, 0, 9776, 7648, 4352, 4352, 6624, 4352, 6528, 6528, 4352, 4352, 6528, 6528, 4352, 1024, 0, 0, 0, 6624, 4352, 4352, 6624, 20544, 5376, 5376, 12000, 5376, 7552, 7552, 0, 5376, 7552, 7552, 0, 12000, 0, 0, 12000, 8544, 5376, 5376, 0]
#Trails of weigth 47: [0, 0, 1152, 1152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1152, 0, 0, 0, 0, 1152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1152, 0, 0, 1152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1152, 0, 0, 1152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 48: [2400, 2400, 19968, 14560, 17520, 15216, 0, 2400, 15216, 15216, 0, 2400, 0, 0, 19968, 0, 2400, 2400, 0, 14560, 40864, 1728, 33504, 7360, 1728, 3712, 0, 1728, 1728, 3712, 0, 1728, 33504, 0, 33504, 0, 7360, 1728, 0, 7360, 80544, 10944, 58976, 21568, 10944, 15360, 0, 10944, 10944, 13312, 0, 10944, 58976, 0, 58976, 0, 21568, 10944, 0, 21568, 26624, 1536, 1536, 10304, 1536, 5120, 5120, 1536, 1536, 5120, 5120, 1536, 16320, 0, 0, 0, 10304, 1536, 1536, 10304, 60928, 7168, 7168, 47424, 7168, 13184, 10624, 0, 7168, 10624, 10624, 0, 47424, 0, 0, 47424, 13504, 7168, 7168, 0]
#Trails of weigth 49: [20872, 20872, 57120, 31488, 45368, 41656, 0, 20872, 41656, 57400, 15744, 36616, 0, 15744, 72864, 15744, 20872, 36616, 15744, 47232, 33776, 5424, 17088, 16688, 5424, 11504, 0, 5424, 5424, 41968, 30464, 35888, 17088, 30464, 47552, 30464, 16688, 35888, 30464, 47152, 65264, 5424, 48576, 16688, 5424, 19440, 0, 5424, 5424, 11504, 17920, 23344, 48576, 0, 66496, 17920, 16688, 5424, 17920, 34608, 76704, 12000, 12000, 24672, 12000, 21472, 16864, 12000, 12000, 16864, 56032, 51168, 52032, 0, 39168, 39168, 24672, 12000, 51168, 63840, 55424, 3296, 3296, 49824, 3296, 24416, 15456, 0, 3296, 15456, 43040, 27584, 49824, 0, 27584, 77408, 5600, 3296, 30880, 27584]
#Trails of weigth 50: [10656, 10656, 46656, 43840, 51584, 40576, 0, 10656, 40576, 59136, 18560, 29216, 0, 18560, 65216, 18560, 10656, 29216, 18560, 62400, 186864, 16224, 127552, 59312, 16224, 39696, 0, 16224, 16224, 61840, 22144, 38368, 127552, 22144, 149696, 22144, 59312, 38368, 22144, 81456, 216144, 15808, 152128, 64016, 15808, 61456, 0, 15808, 15808, 40784, 14464, 30272, 152128, 0, 166592, 14464, 64016, 15808, 14464, 78480, 161184, 18912, 18912, 71328, 18912, 54048, 44192, 18912, 18912, 44192, 79776, 54496, 89856, 0, 35584, 35584, 71328, 18912, 54496, 106912, 181792, 15616, 15616, 132352, 15616, 74656, 43040, 0, 15616, 43040, 69664, 26624, 132352, 0, 26624, 158976, 49440, 15616, 42240, 26624]
