output[0]: 0x0000000000500500
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 19360, 51: 0, 52: 45056, 53: 51392, 54: 101376, 55: 42240, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[8]: 0x0000000000D00700
Probability: 2^(-35.48528594586151)
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 18304, 51: 0, 52: 2112, 53: 28160, 54: 8448, 55: 16896, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[9]: 0x0000000000F00700
Probability: 2^(-34.551883694590536)
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 19360, 51: 0, 52: 45056, 53: 51392, 54: 101376, 55: 42240, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[10]: 0x0000000000500A00
Probability: 2^(-35.48528594586151)
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 18304, 51: 0, 52: 2112, 53: 28160, 54: 8448, 55: 16896, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[11]: 0x0000000000700A00
Probability: 2^(-35.62767904513274)
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 10208, 51: 0, 52: 20416, 53: 26752, 54: 33792, 55: 14080, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[12]: 0x0000000000A00A00
Probability: 2^(-33.991746472903955)
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 29568, 51: 0, 52: 65472, 53: 78144, 54: 135168, 55: 56320, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[13]: 0x0000000000D00A00
Probability: 2^(-35.48528594586151)
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 18304, 51: 0, 52: 2112, 53: 28160, 54: 8448, 55: 16896, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[14]: 0x0000000000F00A00
Probability: 2^(-34.551883694590536)
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 19360, 51: 0, 52: 45056, 53: 51392, 54: 101376, 55: 42240, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[15]: 0x0000000000500D00
Probability: 0
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[16]: 0x0000000000700D00
Probability: 0
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[17]: 0x0000000000A00D00
Probability: 0
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[18]: 0x0000000000D00D00
Probability: 0
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[19]: 0x0000000000F00D00
Probability: 0
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[20]: 0x0000000000500F00
Probability: 0
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[21]: 0x0000000000700F00
Probability: 2^(-35.62767904513274)
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 10208, 51: 0, 52: 20416, 53: 26752, 54: 33792, 55: 14080, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[22]: 0x0000000000A00F00
Probability: 2^(-35.62767904513274)
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 10208, 51: 0, 52: 20416, 53: 26752, 54: 33792, 55: 14080, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[23]: 0x0000000000D00F00
Probability: 0
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

output[24]: 0x0000000000F00F00
Probability: 0
#Trails: {40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0}

Distribution : [0.0, 0.0, 0.0, 0.0, 0.0, 2.079048044834053e-11, 0.0, 3.97051280742744e-11, 2.079048044834053e-11, 3.97051280742744e-11, 2.079048044834053e-11, 1.8836487925000256e-11, 5.854161599927465e-11, 2.079048044834053e-11, 3.97051280742744e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8836487925000256e-11, 1.8836487925000256e-11, 0.0, 0.0]
#Trails of weigth 40: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 41: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 42: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 43: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 44: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 45: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 46: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 47: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 48: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 49: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 50: [0, 0, 0, 0, 0, 18304, 0, 19360, 18304, 19360, 18304, 10208, 29568, 18304, 19360, 0, 0, 0, 0, 0, 0, 10208, 10208, 0, 0]
#Trails of weigth 51: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 52: [0, 0, 0, 0, 0, 2112, 0, 45056, 2112, 45056, 2112, 20416, 65472, 2112, 45056, 0, 0, 0, 0, 0, 0, 20416, 20416, 0, 0]
#Trails of weigth 53: [0, 0, 0, 0, 0, 28160, 0, 51392, 28160, 51392, 28160, 26752, 78144, 28160, 51392, 0, 0, 0, 0, 0, 0, 26752, 26752, 0, 0]
#Trails of weigth 54: [0, 0, 0, 0, 0, 8448, 0, 101376, 8448, 101376, 8448, 33792, 135168, 8448, 101376, 0, 0, 0, 0, 0, 0, 33792, 33792, 0, 0]
#Trails of weigth 55: [0, 0, 0, 0, 0, 16896, 0, 42240, 16896, 42240, 16896, 14080, 56320, 16896, 42240, 0, 0, 0, 0, 0, 0, 14080, 14080, 0, 0]
#Trails of weigth 56: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 57: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 58: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 59: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 60: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 61: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 62: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#Trails of weigth 63: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
